Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,Starting Age,Age_Group,Starting_Age_Group
52685,36,Male,13,Healthcare,8029,Excellent,High,Average,1,Yes,83,Master’s Degree,Married,1,Mid,Large,22,No,No,No,Poor,Medium,Stayed,23,35-44,18-25
30585,35,Male,7,Education,4563,Good,High,Average,1,Yes,55,Associate Degree,Single,4,Entry,Medium,27,No,No,No,Good,High,Left,28,35-44,25-34
54656,50,Male,7,Education,5583,Fair,High,Average,3,Yes,14,Associate Degree,Divorced,2,Senior,Medium,76,No,No,Yes,Good,Low,Stayed,43,45-54,35-44
72645,34,Female,15,Technology,11025,Fair,Medium,High,1,No,9,Master’s Degree,Single,4,Entry,Large,16,No,No,No,Good,Low,Left,19,25-34,18-25
65181,55,Female,16,Media,5939,Poor,High,Average,0,No,31,Associate Degree,Divorced,1,Entry,Small,46,No,No,No,Good,High,Stayed,39,55-64,35-44
49522,32,Female,12,Healthcare,8144,Good,High,Below Average,0,Yes,28,High School,Married,1,Mid,Medium,57,No,No,No,Fair,Medium,Stayed,20,25-34,18-25
52948,45,Female,3,Media,6370,Fair,Medium,High,3,No,30,Bachelor’s Degree,Married,3,Senior,Medium,60,No,No,No,Good,High,Stayed,42,45-54,35-44
35067,42,Male,3,Healthcare,8344,Good,Very High,Average,0,No,88,Master’s Degree,Married,0,Mid,Small,14,No,No,No,Good,High,Stayed,39,35-44,35-44
53650,35,Female,5,Finance,10449,Good,Very High,Average,1,No,51,Bachelor’s Degree,Single,0,Entry,Small,69,No,No,No,Good,Low,Left,30,35-44,25-34
2213,42,Male,14,Education,5076,Fair,High,High,0,Yes,53,Bachelor’s Degree,Single,5,Entry,Medium,68,No,No,No,Good,High,Stayed,28,35-44,25-34
49462,56,Male,24,Healthcare,8963,Excellent,High,Average,1,No,43,Bachelor’s Degree,Married,0,Mid,Medium,81,No,No,No,Good,High,Stayed,32,55-64,25-34
16073,21,Female,1,Healthcare,7869,Fair,High,High,0,No,23,Master’s Degree,Married,0,Senior,Large,64,No,No,Yes,Good,Low,Stayed,20,18-25,18-25
54967,47,Female,11,Media,6664,Fair,High,Average,1,No,77,Associate Degree,Single,4,Mid,Small,41,No,No,No,Good,High,Left,36,45-54,35-44
455,50,Male,15,Healthcare,8209,Good,High,Average,0,No,7,Master’s Degree,Single,0,Senior,Medium,91,No,No,No,Excellent,Very High,Left,35,45-54,35-44
36359,40,Male,22,Healthcare,5593,Good,High,Average,0,No,74,Associate Degree,Single,0,Entry,Medium,55,No,No,No,Good,Low,Stayed,18,35-44,18-25
36048,50,Female,19,Finance,8345,Fair,High,Below Average,2,No,55,Associate Degree,Married,3,Entry,Medium,24,No,No,No,Fair,High,Left,31,45-54,25-34
54081,23,Male,4,Education,4532,Excellent,High,Average,1,Yes,87,Master’s Degree,Single,1,Mid,Medium,60,No,No,No,Good,High,Left,19,18-25,18-25
